postcode,Accident_risk_index
AB10 1AU,1.381604954200532
AB10 1PG,1.3495089630616133
AB10 1TT,1.5360791760598758
AB10 1YP,1.422163187489404
AB10 6LQ,1.356464279130931
AB10 6NN,1.5088418933923078
AB10 7FT,1.4874209544298616
AB10 7JP,1.2374219708214416
AB10 7LY,1.2099938488589563
AB11 5BD,1.317484288236038
AB11 5BU,1.4075959784626058
AB11 5EJ,1.3564031924794824
AB11 5HS,1.5213965078417802
AB11 5PA,1.3919047594006513
AB11 5QW,1.325067092307312
AB11 6BG,1.4944155188193644
AB11 6EZ,1.4008549684968865
AB11 6JS,1.4562461380180192
AB11 6JX,1.447797207888471
AB11 6JY,1.4435567475622797
AB11 7BH,1.5978234768474657
AB11 7DG,1.5672273305475812
AB11 7LH,1.5335498859644114
AB11 7XY,1.4386185974546024
AB11 8JA,1.4982904453470298
AB11 8SR,1.3020511583053342
AB11 8TD,1.2699769961489702
AB11 9DS,1.271111520176594
AB11 9PE,1.3180353717564233
AB11 9QQ,1.2634246337769781
AB12 3AF,1.43521568040339
AB12 3HY,1.4035875367386486
AB12 3JB,1.5870183816859877
AB12 3LL,1.5073284978243489
AB12 3RE,1.3599102887426469
AB12 3ZR,1.6018488740983812
AB12 4LQ,1.4580058121850556
AB12 4TS,1.5720638504966713
AB12 5AA,1.4696503168368285
AB12 5BS,1.4736738149381463
AB12 5UL,1.4949224105138563
AB12 5UT,1.2847523199391875
AB12 5WF,1.5052104691025208
AB12 5YN,1.2053118592874907
AB12 9SA,1.4613682683956555
AB14 0PS,1.375109020292233
AB14 0RR,1.3855396885572957
AB15 4TN,1.4069513709214492
AB15 4YD,1.5440974012866697
AB15 6BT,1.3188317350349628
AB15 6EE,1.3118670045500962
AB15 8BQ,1.429064148570793
AB15 8DP,1.2575536893348616
AB15 8GG,1.2371695648048178
AB15 8PD,1.516430414074625
AB15 8PP,1.320898804651238
AB15 8PT,1.4158807930152726
AB15 8PX,1.320740512383363
AB15 8QS,1.291119286428344
AB15 8RT,1.3795750260911641
AB15 8SP,1.3595366131393043
AB15 8UL,1.3953318865801174
AB15 9LD,1.366036518028487
AB16 5HU,1.4593318201157766
AB16 5JU,1.5056705242658084
AB16 5UW,1.4330993986413794
AB16 6QL,1.4663071978056241
AB16 6QU,1.2826545306323478
AB16 7PG,1.4100472385773386
AB21 0HU,1.2723709605212468
AB21 0LU,1.3751629117570605
AB21 0PN,1.3355691287443268
AB21 0QS,1.2983931055216358
AB21 0SH,1.469929060326061
AB21 0TT,1.5863426760681492
AB21 0TX,1.455979113672236
AB21 7AS,1.4528497698792953
AB21 7BL,1.1854892666043313
AB21 7PA,1.4561384562023634
AB21 7PQ,1.393193680094463
AB21 9AU,1.4987670750815238
AB21 9BB,1.508721564729419
AB21 9BE,1.5215657638563644
AB21 9BH,1.253662775694154
AB21 9EY,1.5494449773841874
AB21 9HW,1.374939332194808
AB21 9NN,1.5356662486843353
AB21 9PU,1.4505977776355035
AB21 9SG,1.2195756681573344
AB21 9SR,1.5085169800557872
AB22 8HB,1.42033093305611
AB22 8PB,1.5111903635194757
AB22 8QR,1.406434405297775
AB22 8SW,1.3069039914299028
AB22 8TL,1.4872010270103693
AB22 8WQ,1.541961065179458
AB22 8ZQ,1.576924942945393
AB22 8ZR,1.2877059488344054
AB23 8BY,1.5332972815966632
AB23 8EE,1.4436907388929447
AB23 8HP,1.4595322476616317
AB23 8HS,1.3212009749420557
AB23 8SH,1.2292594163253954
AB23 8SR,1.4304176090401337
AB23 8UN,1.4540203765564874
AB23 8UP,1.301375332957836
AB23 8XY,1.5127179280153076
AB23 8YY,1.4583888675845411
AB24 1TN,1.4904010300665373
AB24 1XQ,1.2686138869814927
AB24 2BP,1.2550421747880578
AB24 2SR,1.4347285967526875
AB24 3DF,1.2487421139521504
AB24 3DQ,1.4795895231762906
AB24 4EX,1.5007487089224185
AB24 4RD,1.4208974595637525
AB24 5BA,1.6476181699938832
AB24 5BW,1.4069076668976805
AB24 5LN,1.4630370099289696
AB24 5NY,1.4453566906963193
AB24 5RS,1.518300791909745
AB25 1DL,1.4842533076679971
AB25 1EP,1.4074103597144534
AB25 1RX,1.4052746585313909
AB25 1SJ,1.5815401694154119
AB25 1US,1.1924057014556548
AB25 2EL,1.4687570803171581
AB25 2PD,1.3423511496678668
AB25 2QU,1.363452266831689
AB25 2QW,1.2863691178175403
AB25 2SG,1.3714218871064194
AB25 3BD,1.4233405434583217
AB25 3DD,1.5479353273805465
AB25 3RX,1.5674164958932841
AB30 1HB,1.4695328840031312
AB30 1HF,1.5122995044478678
AB30 1NJ,1.4339775786345652
AB30 1PQ,1.4761458010627897
AB30 1US,1.403789697191597
AB31 4HD,1.241046901934071
AB31 4JQ,1.3592598373131255
AB31 5HR,1.5045395576142184
AB31 5NU,1.4732947666218363
AB31 5QX,1.2205198109731226
AB31 6BN,1.4578202229275685
AB31 6BQ,1.2762604172428025
AB32 6FB,1.3924558518084318
AB32 6HW,1.5551642401361312
AB32 6XL,1.557052654888729
AB32 6XQ,1.2132882861503937
AB32 6YL,1.2303634706835633
AB32 6YR,1.5157299831138227
AB32 7AW,1.3409049992455433
AB32 7ED,1.5161329101492012
AB33 8DH,1.4406063646909872
AB33 8ED,1.4017916146144673
AB33 8HH,1.4065664311196746
AB33 8JS,1.3178700478426162
AB33 8RB,1.3602389715354708
AB34 4YT,1.3451928395094035
AB34 5BB,1.3252938733995332
AB35 5SD,1.4301595270821499
AB35 5SS,1.3006697046403335
AB35 5XU,1.296190100636073
AB36 8YJ,1.5131558831451273
AB37 9EH,1.4371878718351019
AB38 7AQ,1.2543979353675043
AB38 9LS,1.4647964118904941
AB38 9NS,1.6161122909178112
AB38 9RT,1.2736725926694934
AB38 9SR,1.250022599548176
AB39 2AU,1.525058121559276
AB39 2RH,1.598036376064855
AB39 2XQ,1.4415677337026096
AB39 2XR,1.444495396422934
AB39 3PB,1.3015770551611654
AB39 3SS,1.597594739463762
AB41 6AZ,1.2388758084674525
AB41 6BW,1.207589527539474
AB41 6QT,1.5692428387111912
AB41 6RU,1.4551854527097028
AB41 7PD,1.2580627656976373
AB41 8RB,1.260038744531281
AB41 8UX,1.4179162711968771
AB42 0RX,1.3358021683562427
AB42 1PU,1.5243281440243708
AB42 1ST,1.3263995338712107
AB42 1SY,1.4917826378095693
AB42 2AD,1.487615380643627
AB42 2GB,1.3108637646753964
AB42 3AL,1.2829175905321093
AB42 3BF,1.5224779389355414
AB42 3EN,1.6182560801042252
AB42 4EU,1.685981839264101
AB42 4NY,1.3424965130776458
AB42 4PL,1.54454327903525
AB42 5EB,1.5459286506683556
AB42 5EE,1.3054893570724824
AB42 5FF,1.195366746146947
AB43 6NF,1.3261588483113151
AB43 6PU,1.4561003844153895
AB43 7AW,1.5813246367145988
AB43 7EB,1.3312454712002395
AB43 7TQ,1.317786875968374
AB43 8RH,1.4165941361619592
AB43 8RN,1.205562044516123
AB43 8TH,1.5853710020531526
AB43 8TL,1.3987679916025666
AB43 8YH,1.391350077289282
AB43 8YP,1.5702797967035818
AB43 9AU,1.4396436585031898
AB43 9EA,1.2891192449735285
AB43 9QL,1.5260231053302977
AB43 9RH,1.5952063774067797
AB44 1UD,1.6504075140417074
AB45 2AR,1.6595807259663242
AB45 2BJ,1.4391533493020305
AB45 2JJ,1.2565311852593009
AB45 2LP,1.520537383889631
AB45 2QS,1.2554026359778232
AB45 3AE,1.2483635907167188
AB45 3YX,1.316296728178601
AB51 0AE,1.3749006172740392
AB51 0BP,1.4360186940929633
AB51 0DA,1.2108936865074236
AB51 0FW,1.3951260591272394
AB51 0LU,1.3425644516576634
AB51 0SU,1.254860404100357
AB51 0TP,1.2710311234075269
AB51 0XE,1.3315058355142657
AB51 0YJ,1.5843777596335427
AB51 3NA,1.384982502649283
AB51 3XS,1.3898293260856935
AB51 4DL,1.5234191479745103
AB51 4GP,1.3001626603749812
AB51 4RS,1.5073304371128602
AB51 5BB,1.5442107698103993
AB51 5DR,1.4186154996813816
AB51 5LN,1.4630822457101813
AB51 5PB,1.4821699144302178
AB51 7HD,1.3947874980981225
AB51 7JS,1.49050665660748
AB51 7LQ,1.4902764051138124
AB51 8UJ,1.2260568705225472
AB51 8ZF,1.433415311074517
AB53 4AD,1.5244327954166181
AB53 4JD,1.51624930017229
AB53 5PU,1.4984218302705934
AB53 5QN,1.4364558757207473
AB53 5SH,1.4355021767978922
AB53 5SQ,1.3265133379216794
AB53 5SR,1.6297629980784947
AB53 5TD,1.320224414989081
AB53 6SL,1.3926448338042758
AB53 6YW,1.4223129881390373
AB53 8BJ,1.3032073223974905
AB53 8EJ,1.3510190565827784
AB54 4JJ,1.3589213273030145
AB54 4NJ,1.4906109347101075
AB54 4SL,1.3544977321192877
AB54 4TJ,1.3601010494025763
AB54 4TL,1.4023912934317917
AB54 6YN,1.3846972593500675
AB54 7JT,1.258380668792438
AB54 7TH,1.3999180130809667
AB54 7UP,1.4418278266444415
AB55 4AB,1.5149343339849128
AB55 4DY,1.4600015306710576
AB55 5DW,1.4421356480430654
AB55 5DY,1.560323730104891
AB55 5HF,1.3490509300648155
AB55 5HU,1.531292316906016
AB55 5PE,1.308780224136041
AB56 1ET,1.4066386569724905
AB56 1JD,1.4842595774372829
AB56 1LH,1.3304569716650054
AB56 1TS,1.4895402187226905
AB56 4RD,1.4457638601142992
AB56 5AF,1.4134716268242367
AB56 5BR,1.5799390698216218
AB56 5UP,1.4107855288627016
AL1 1DZ,1.3933838635781064
AL1 1PD,1.494132024846704
AL1 1PG,1.4799897795539096
AL1 1PT,1.476667823158363
AL1 1UR,1.2028321281396521
AL1 2DN,1.3264831102698889
AL1 2QL,1.630989364440876
AL1 2QN,1.3334095174510439
AL1 3AE,1.5257109501865624
AL1 3SR,1.3413980520615134
AL1 3YQ,1.4678629329656137
AL1 4AP,1.5503489321119073
AL1 4ES,1.3280640912411736
AL1 4EX,1.3969794794155175
AL1 4LA,1.4872204628385302
AL1 4NQ,1.4719270474641
AL1 4QE,1.427465710499457
AL1 4RL,1.3794452740828325
AL1 4XP,1.3890965876198271
AL1 5EQ,1.5019886134000242
AL1 5NE,1.233974742036561
AL1 5NY,1.2998056396808007
AL10 0HQ,1.4083654275109547
AL10 0LF,1.4638945823794345
AL10 0PH,1.4755169913149178
AL10 0RT,1.5516909935305403
AL10 0SQ,1.3327895188479848
AL10 0XR,1.4392806621872516
AL10 8AQ,1.3325496458934305
AL10 8NA,1.3250234699100707
AL10 8XB,1.4290287037250875
AL10 9AZ,1.3551302470992415
AL10 9BH,1.2680436254747647
AL10 9BP,1.5025978806983236
AL10 9EX,1.4159660137611776
AL10 9GL,1.5109331861535142
AL10 9GU,1.6546688888230847
AL10 9NU,1.62661961294243
AL10 9PA,1.4981144617965134
AL10 9QS,1.4330684028716538
AL10 9US,1.4781810302518528
AL2 1BT,1.4257937699736527
AL2 1BX,1.4670759091469514
AL2 1DH,1.5609593657845453
AL2 1FS,1.481906606853233
AL2 1JW,1.208878794536291
AL2 1LG,1.3893869398345795
AL2 1PH,1.4345507710670602
AL2 1TD,1.4303253954395467
AL2 2HJ,1.377415304319389
AL2 2HS,1.5152589195885005
AL2 2JR,1.5755720204552848
AL2 2LF,1.6236154063319705
AL2 2LJ,1.5041871253189332
AL2 2NZ,1.4611636926844493
AL2 3AA,1.5012614093204266
AL2 3DA,1.3671176385635377
AL2 3HG,1.624404090733168
AL2 3NT,1.4076154153899456
AL2 3PT,1.6060278857629113
AL2 3PY,1.4065208466511485
AL2 3QF,1.3734386781689425
AL2 3XX,1.4517002533160153
AL3 4AL,1.4867458153752695
AL3 4BL,1.675383107125064
AL3 5AN,1.5470529094972008
AL3 5AS,1.4107588410352758
AL3 5JA,1.3555819654616956
AL3 5RY,1.363418211783135
AL3 6BA,1.3865489433940437
AL3 6EU,1.5489055575939714
AL3 7AS,1.5632739394736728
AL3 7LT,1.2190634347921787
AL3 7NL,1.3825065856510133
AL3 8AH,1.3449287822632867
AL3 8AZ,1.4126138970444468
AL3 8DP,1.44605271873846
AL3 8HQ,1.458801564543512
AL3 8JD,1.2691216390772937
AL4 0FQ,1.416365655458792
AL4 0HB,1.3018435317219987
AL4 0NG,1.4269358334348345
AL4 0NQ,1.4431505193849794
AL4 0SA,1.231106952414871
AL4 0SP,1.4064709733522938
AL4 0XP,1.4371357519749246
AL4 0XR,1.4072494526457335
AL4 8AA,1.3191124235960472
AL4 8HP,1.3402714652466414
AL4 8RT,1.545194354561989
AL4 9JB,1.340757295442958
AL4 9JF,1.2730531489875105
AL4 9JR,1.4574465381972195
AL5 1DW,1.4496445901160917
AL5 1TE,1.3799832024710506
AL5 2RH,1.2343139326212957
AL5 2TP,1.398280471711726
AL5 2TQ,1.2665620261805186
AL5 3EQ,1.547094197120942
AL5 3NF,1.5734414234256013
AL5 4TD,1.5343085009449098
AL5 4US,1.2354851478568474
AL5 5NH,1.3890323800925124
AL5 5TL,1.453620156531908
AL6 0AW,1.4334761554705073
AL6 0BX,1.3794097703900396
AL6 0NQ,1.443885977171156
AL6 0QA,1.5740897242444352
AL6 0TB,1.3038613633852674
AL6 0TT,1.380376161930337
AL6 9EH,1.3221590249626052
AL6 9EP,1.542877498444135
AL7 1EU,1.275148133776146
AL7 1EW,1.318855413380101
AL7 1FX,1.5328044619311756
AL7 1GD,1.3145334945918439
AL7 1TN,1.4841150043339866
AL7 2AJ,1.457274372593744
AL7 2DA,1.391718450257267
AL7 2EA,1.6718473578103314
AL7 2ED,1.4500870455318142
AL7 3EL,1.4816352539835884
AL7 3PW,1.262336890660941
AL7 3UU,1.5921467166831362
AL7 4AB,1.4615616124099995
AL7 4BQ,1.4760919921454356
AL7 4DP,1.308926236025531
AL7 4HE,1.3811820810057303
AL7 4HG,1.2528241525901966
AL7 4HQ,1.2760556763373736
AL8 6AJ,1.3909238722061008
AL8 6JD,1.5225680997066944
AL8 6JL,1.416659200929066
